GEOID,avg_annual_crimes,population,crimes_per_1k
17031611900,509.1333333333333,1559,326.6
17031612000,286.4,1317,217.5
17031612100,248.8,1018,244.4
17031612200,425.6666666666667,3687,115.5
17031620100,361.8666666666667,4798,75.4
17031620200,159.0,1948,81.6
17031620300,347.8666666666667,7080,49.1
17031620400,223.2,4540,49.2
17031630300,445.26666666666665,4167,106.9
17031630400,323.8666666666667,6003,54.0
17031630500,361.26666666666665,5989,60.3
17031630600,316.8666666666667,2746,115.4
17031630800,399.26666666666665,6361,62.8
17031630900,297.6,4856,61.3
17031640100,124.2,1348,92.1
17031640300,296.06666666666666,6897,42.9
17031640400,145.93333333333334,3309,44.1
17031640500,107.0,4132,25.9
17031640600,183.26666666666668,4427,41.4
17031640700,158.2,3110,50.9
17031640800,86.06666666666666,1505,57.2
17031650100,254.2,4622,55.0
17031650200,342.6666666666667,7211,47.5
17031650301,290.93333333333334,4863,59.8
17031650302,231.4,4945,46.8
17031650400,308.06666666666666,6794,45.3
17031650500,626.8666666666667,4159,150.7
17031660301,274.3333333333333,1761,155.8
17031660302,422.6666666666667,4612,91.6
17031660400,344.6666666666667,4719,73.0
17031660500,452.2,4284,105.6
17031660600,1058.2,5849,180.9
17031660700,491.73333333333335,1617,304.1
17031660800,747.2666666666667,5832,128.1
17031660900,915.4666666666667,5631,162.6
17031661000,832.5333333333333,5424,153.5
17031661100,391.46666666666664,7186,54.5
17031670100,377.6,1472,256.5
17031670200,370.0,724,511.0
17031670300,360.8,1332,270.9
17031670400,336.93333333333334,1616,208.5
17031670500,314.53333333333336,1004,313.3
17031670600,291.4,1174,248.2
17031670700,491.2,1092,449.8
17031670800,469.8,1022,459.7
17031670900,287.6,1246,230.8
17031671100,308.8,915,337.5
17031671200,413.93333333333334,840,492.8
17031671300,551.4,1657,332.8
17031671400,387.53333333333336,1299,298.3
17031671500,901.4666666666667,2308,390.6
17031671600,572.2666666666667,1709,334.9
17031671800,265.0,1128,234.9
17031671900,216.26666666666668,1034,209.2
17031672000,695.0666666666667,3295,210.9
17031680500,368.6666666666667,1474,250.1
17031680600,359.06666666666666,1178,304.8
17031680900,1055.4666666666667,3560,296.5
17031681000,848.9333333333333,2297,369.6
17031681100,870.0,1932,450.3
17031681200,653.7333333333333,1883,347.2
17031681300,619.9333333333333,2323,266.9
17031681400,759.6,1879,404.3
17031690300,554.7333333333333,2303,240.9
17031690400,802.9333333333333,2908,276.1
17031690500,239.4,742,322.6
17031690900,735.6666666666666,3809,193.1
17031691000,510.4,2655,192.2
17031691100,694.0,2883,240.7
17031691200,869.0,1984,438.0
17031691300,451.6666666666667,2332,193.7
17031691400,702.9333333333333,2701,260.2
17031691500,660.9333333333333,1895,348.8
17031700100,409.8666666666667,3874,105.8
17031700200,319.3333333333333,6888,46.4
17031700301,237.33333333333334,6124,38.8
17031700302,217.6,6003,36.2
17031700401,492.46666666666664,6218,79.2
17031700402,208.6,3417,61.0
17031700501,533.3333333333334,6565,81.2
17031700502,158.46666666666667,3656,43.3
17031710100,282.93333333333334,1026,275.8
17031710200,1032.0666666666666,4056,254.5
17031710300,359.6,1382,260.2
17031710400,838.2,5668,147.9
17031710500,738.6666666666666,4087,180.7
17031710600,407.1333333333333,1720,236.7
